ID,Group name,Subtype,Isolate ID,Name,Country,Year,Bird,PB2,PB1,PA,HA,NP,NA,M,NS
1,HxNy,H5N1,EPI_ISL_1254 ,A/goose/Guangdong/1/96 (H5N1),China,1996,goose,EPI5779,EPI5781,EPI5783,EPI5789,EPI5785,EPI5787,EPI5791,EPI5794
2,HxNy,H5N1,,A/great crested grebe/Tyva/22/2010(H5N1),Russia,2010,great crested grebe,HQ131674.1,HQ131680.1,HQ131679.1,HQ131674.1,HQ131677.1,HQ131676.1 ,HQ131675.1,HQ131678.1 
3,HxNy,H5N3,,A/duck/Moscow/4182/2010(H5N3),Russia,2010,duck,KF885672.1 ,KF885673.1,KF885674.1 ,KF885675.1 ,KF885676.1,KF885677.1,KF885678.1,KF885679.1
4,HxNy,H6N8,,A/mallard duck/Netherlands/15/2011(H6N8),Netherlands,2011,mallard duck,KX978165.1,KX979638.1,KX978869.1,KX978593.1 ,KX979542.1 ,KX978920.1,KX978004.1,KX978124.1
5,HxNy,H3N6,,A/duck/Bangladesh/26920/2015(H3N6),Bangladesh,2015,duck,KY635499.1,KY635617.1 ,KY635731.1,KY635779.1,KY635705.1 ,KY635782.1,KY635634.1,KY635478.1
6,HxNy,H3N3,,A/duck/Mongolia/129/2015(H3N3) ,Mongolia,2015,duck,LC132917.1,LC132918.1,LC132919.1,LC132920.1,LC132921.1 ,LC132922.1 ,LC132923.1,LC132924.1
7,2014-2015,H5N8,EPI_ISL_169427,A/wigeon/Sakha/1/2014,Russia,2014,wigeon,,,,EPI553349,,EPI553350,,EPI553471
8,2014-2015,H5N8,EPI_ISL_198663,A/turkey/Germany/AR3382-L00937/2014,Germany,2014,turkey,EPI687244,EPI687245,EPI687235,EPI687247,EPI687240,EPI687246,EPI687242,
9,2014-2015,H5N8,EPI_ISL_181095,A/chicken/Netherlands/emc-3/2014,Netherlands,2014,chicken,EPI596299|KR233687,EPI596300|KR233688,EPI596245|KR233689,EPI596301|KR233690,EPI596302|KR233691,EPI596303|KR233692,EPI596304|KR233693,EPI596305|KR233694
10,2014-2015,H5N8,EPI_ISL_174349,A/chicken/Netherlands/14015766/2014,Netherlands,2014,chicken,EPI573160,EPI573161,EPI573162,EPI573163,EPI573165,EPI573167,EPI573164,EPI573166
11,2014-2015,H5N8,EPI_ISL_181094,A/eurasian_wigeon/Netherlands/2/2014,Netherlands,2014,eurasian_wigeon,EPI596293|KR233679,EPI596294|KR233680,EPI596244|KR233681,EPI596295|KR233682,EPI596296|KR233683,EPI596297,EPI596298|KR233685,EPI596307|KR233686
12,2014-2015,H5N8,EPI_ISL_168697,A/duck/England/36226/14,England,2014,duck,EPI558001,EPI558002,EPI558003,EPI550849,EPI558004,EPI558000,EPI55800,EPI558006
13,2014-2015,H5N8,,A/duck/Eastern China/S1109/2014(H5N8),China,2014,duck,KP732586.1,KP732606.1 ,KP732626.1,KP732646.1 ,KP732666.1,KP732686.,KP732706.1,KP732726.1
